Data,DiÛxido de Enxofre,PartÌculas < 10 µm,DiÛxido de Azoto,”xidos de Azoto,MonÛxido de Azoto,,
(Hora UTC),µg/m3,µg/m3,µg/m3,µg/m3,µg/m3,,
2017-01-20 13:00:00,150,31360,14360,21904,4920,,
2017-01-20 14:00:00,,31080,19610,28258,5640,,
2017-01-20 15:00:00,,23870,17930,24676,4400,,
2017-01-20 16:00:00,,22200,14560,18455,2540,,
2017-01-20 17:00:00,,38570,38690,60325,14110,,
2017-01-20 18:00:00,,42180,87410,246058,103470,,
2017-01-20 19:00:00,,50230,79490,184182,68280,,
2017-01-20 20:00:00,,52170,67020,127278,39300,,
2017-01-20 21:00:00,-60,47730,26750,30062,2160,,
2017-01-20 22:00:00,60,46620,50690,66498,10310,,
2017-01-20 23:00:00,560,52730,51100,74437,15220,,
2017-01-21 00:00:00,1110,54390,52080,97695,29750,,
2017-01-21 01:00:00,1840,54390,48980,90057,26790,,
2017-01-21 02:00:00,2340,54390,43730,85527,27260,,
2017-01-21 03:00:00,2640,49950,44610,66352,14180,,
2017-01-21 04:00:00,,48840,37650,60695,15030,,
2017-01-21 05:00:00,,48840,34820,45185,6760,,
2017-01-21 06:00:00,,48840,25780,29920,2700,,
2017-01-21 07:00:00,,52450,21900,25994,2670,,
2017-01-21 08:00:00,,53280,24730,45889,13800,,
2017-01-21 09:00:00,,43290,15940,23438,4890,,
2017-01-21 10:00:00,,41070,13020,20732,5030,,
2017-01-21 11:00:00,,35800,8040,12594,2970,,
2017-01-21 12:00:00,,34410,8070,11781,2420,,
2017-01-21 13:00:00,,27470,13260,18335,3310,,
2017-01-21 14:00:00,,25530,10180,13661,2270,,
2017-01-21 15:00:00,,17210,16530,23874,4790,,
2017-01-21 16:00:00,,15540,13700,17303,2350,,
2017-01-21 17:00:00,,23870,34620,41167,4270,,
2017-01-21 18:00:00,,25530,33630,35991,1540,,
2017-01-21 19:00:00,,38300,37140,40529,2210,,
2017-01-21 20:00:00,,41070,65980,86848,13610,,
2017-01-21 21:00:00,,43850,48870,56046,4680,,
2017-01-21 22:00:00,,44400,68090,88023,13000,,
2017-01-21 23:00:00,,49950,76570,109214,21290,,
2017-01-22 00:00:00,,51060,72480,98622,17050,,
2017-01-22 01:00:00,,54670,60640,68981,5440,,
2017-01-22 02:00:00,,55500,48770,53937,3370,,
2017-01-22 03:00:00,,49120,47440,51580,2700,,
2017-01-22 04:00:00,,47730,39880,41751,1220,,
2017-01-22 05:00:00,,50510,43750,52643,5800,,
2017-01-22 06:00:00,,51060,43890,69756,16870,,
2017-01-22 07:00:00,,49120,39520,60802,13880,,
2017-01-22 08:00:00,,48840,34450,45352,7110,,
2017-01-22 09:00:00,,46070,43530,74119,19950,,
2017-01-22 10:00:00,,45510,34770,54243,12700,,
2017-01-22 11:00:00,,27470,20200,28096,5150,,
2017-01-22 12:00:00,,23310,14610,19731,3340,,
2017-01-22 13:00:00,,20810,9250,11795,1660,,
2017-01-22 14:00:00,,19980,11200,13255,1340,,
2017-01-22 15:00:00,,17210,8490,10821,1520,,
2017-01-22 16:00:00,,16650,12850,15196,1530,,
2017-01-22 17:00:00,,19430,10600,13053,1600,,
2017-01-22 18:00:00,,19980,11300,14029,1780,,
2017-01-22 19:00:00,,24420,14680,17425,1790,,
2017-01-22 20:00:00,,25530,16840,18680,1200,,
2017-01-22 21:00:00,,26360,13330,15415,1360,,
2017-01-22 22:00:00,,26640,13440,15219,1160,,
2017-01-22 23:00:00,,21090,11070,12557,970,,
2017-01-23 00:00:00,,19980,8500,10340,1200,,
2017-01-23 01:00:00,,19980,9690,11530,1200,,
2017-01-23 02:00:00,,19980,8480,9967,970,,
2017-01-23 03:00:00,,19150,13000,15837,1850,,
2017-01-23 04:00:00,,18870,17380,20462,2010,,
2017-01-23 05:00:00,,22480,16390,19855,2260,,
